Units (20),Unit Code,Start Date,End Date,Learning Mode,Status
"Apply advanced critical thinking to work processes","BSBCRT404","Campus","2023-02-09","2023-06-22","Competent"
"Contribute to cyber security risk management","BSBXCS404","Campus","2023-02-09","2023-06-22","Competent"
"Install, configure and test internet protocol networks","ICTTEN434","Campus","2023-02-06","2023-06-20","Competent"
"Design website layouts","ICTWEB432","Campus","2023-02-08","2023-07-14","Competent"
"Identify and evaluate emerging technologies and practices","ICTICT426","Campus","2023-02-09","2023-06-22","Competent"
"Comply with IP, ethics and privacy policies in ICT environments","ICTICT451","Campus","2023-02-09","2023-06-22","Competent"
"Install, configure and test network security","ICTNWK421","Campus","2023-02-07","2023-07-14","Competent"
"Optimise ICT system performance","ICTSAS437","Campus","2023-02-06","2023-06-20","Competent"
"Apply query language in relational databases","ICTPRG431","Campus","2023-02-07","2023-07-14","Competent"
"Support ICT system software","ICTSAS441","Campus","2023-02-06","2023-06-20","Competent"
"Confirm accessibility of websites","ICTWEB433","Campus","2023-02-08","2023-07-14","Competent"
"Create a markup language document","ICTWEB452","Campus","2023-02-08","2023-07-14","Competent"
"Install and manage servers","ICTNWK422","Campus","2023-02-06","2023-07-14","Competent"
"Apply introductory programming techniques","ICTPRG302","Campus","2023-02-07","2023-07-14","Competent"
"Create and style simple markup language documents","ICTWEB431","Campus","2023-02-08","2023-07-14","Competent"
"Create basic relational databases","ICTDBS416","Campus","2023-02-07","2023-07-14","Competent"
"Work collaboratively in the ICT industry","ICTICT443","Campus","2023-02-09","2023-06-22","Competent"
"Identify and resolve client ICT problems","ICTSAS432","Campus","2023-02-09","2023-06-22","Competent"
"Install and configure virtual machines","ICTNWK420","Campus","2023-02-06","2023-07-14","Competent"
"Manage network and data integrity","ICTNWK423","Campus","2023-02-07","2023-07-14","Competent"
